Transcript level ProbeID,SYMBOL,logFC,AveExpr,t,P.Value,adj.P.Val,B
TC14001144.hg.1, FERMT2 ,2.03493707089547,5.72567849232482,2.73308319743778,0.0206456935740698,0.168206590564247,-3.473838726
TC04002952.hg.1, AREG ,-2.032999464,7.1436689043608,-2.58195502,0.026832376201581,0.193906475613852,-3.724259199
TC15000054.hg.1, SNORD116-8 ,2.03060271212559,8.52685296676603,5.93715047394704,0.000130109980550961,0.0164248727457649,1.47826291620499
TC04000158.hg.1, SLIT2 ,2.02232289131266,4.71208592197884,3.91758769889578,0.00274562652223384,0.0618086858885083,-1.507084292
TC05001310.hg.1, SEPP1 ,2.02118869921611,6.39567971041042,4.17790055524668,0.00179546251593832,0.0511374671842486,-1.089101438
TC16000559.hg.1, CDH1 ,-2.018472408,8.46266800002624,-3.209656616,0.00905703437513383,0.109975451521914,-2.676756914
TC17001465.hg.1, TNS4 ,-2.017282954,5.6452894163224,-2.785973871,0.0188355936693213,0.159949304934867,-3.385750505
TC09000614.hg.1, PTGS1 ,2.01677138235737,6.34659374402183,3.08294058660051,0.0112648914186097,0.122627921882388,-2.888961476
TC19001871.hg.1, TMEM238 ,-2.015797041,8.27558790153177,-4.083355935,0.00209285658609823,0.054333946485655,-1.239957568
TC12001163.hg.1, APOBEC1 ,-2.013434161,4.36498878205769,-4.068733922,0.00214327942602393,0.0550362616725798,-1.263388376
TC15000051.hg.1, SNORD116-5 ,2.01261850122509,7.27973207552404,5.66272896901729,0.000190376513422738,0.0185612958086323,1.10956293985323
TC15000053.hg.1, SNORD116-7 ,2.01261850122509,7.27973207552404,5.66272896901729,0.000190376513422738,0.0185612958086323,1.10956293985323
TC04000787.hg.1, GUCY1A3 ,2.01194775116412,5.55592721771969,3.6201547433153,0.00450559519440524,0.0780707837579952,-1.993779129
TC09001475.hg.1, SVEP1 ,2.01021622988804,4.76919032783788,3.74577979739437,0.00365062042094535,0.0704384962917452,-1.78716377
TC04001657.hg.1, SFRP2 ,2.00788662808614,5.60072593901615,2.60998446029989,0.025559920321401,0.188281085690043,-3.67798457
TC01002777.hg.1, NEGR1 ,2.00765914652436,4.5523088239582,3.27707018079584,0.0080680537193681,0.103772269277949,-2.564011263
TC07001045.hg.1, OTTHUMG00000151352 ,-2.007151672,5.50822850163936,-5.174363401,0.000384712742547039,0.0241395026066823,0.423930094722221
TC05001458.hg.1, LOC647859 ,-2.003899707,6.58452965339888,-2.628134879,0.0247680788151018,0.185210393625005,-3.647974077
TC0X001530.hg.1, FLNA ,2.0011240431503,8.56212904604005,3.20306516325983,0.00916016856631609,0.110753949708206,-2.687787975
TC0X000109.hg.1, PTCHD1 ,1.99639016421609,4.32638247962588,2.60381634564533,0.0258346962865921,0.189430264734803,-3.688175155
TC05001289.hg.1, LIFR ,1.99594953019762,3.28303312672717,6.4153719238489,6.86825610292107e-05,0.0125006652011602,2.09271737430343
TC10000592.hg.1, C10orf99 ,-1.994327966,7.78550141060767,-2.358232463,0.0394975459545869,0.237644937618783,-4.089806096
TC0X000519.hg.1, RNF128 ,-1.993895105,5.2149025235548,-4.102937112,0.00202727271665561,0.0538034351896754,-1.20862138
TC10001356.hg.1, TACR2 ,1.98829142860258,5.55258268351731,2.63354830617513,0.0245366630304401,0.18424181078532,-3.639016735
